id,geokret,lat,lon,elevation,country,distance,waypoint,author,comment,pictures_count,comments_count,username,app,app_ver,created_on_datetime,moved_on_datetime,updated_on_datetime,move_type,position,comment_hidden
6117059,99704,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:45+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117057,97223,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:44+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117058,99591,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:44+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117055,99777,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:43+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117056,99760,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:43+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117054,101093,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:42+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117052,101081,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:41+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117053,99029,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:41+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117051,99800,43.11983,6.12212,50,FR,704,GCAY302,39817,"Pendant une balade dans la vieille  ville...

Cache 3378 trouvée le 15 février 2025 17:40
Merci à PAPOUNET83 pour la cache FONTAINE WALLACE.",0,0,NULL,c:geo,2025.01.18,2025-02-15 16:41:40+00,2025-02-15 16:40:00+00,2025-03-22 18:23:00+00,5,0101000020E610000005C078060D7D1840338AE596568F4540,False
6117050,56678,49.54303,8.48857,100,DE,0,GCAB4D4,31022,Schnell gefunden,0,0,NULL,c:geo,2025.01.18,2025-02-15 16:38:37+00,2025-02-15 16:38:00+00,2025-03-22 18:23:00+00,5,0101000020E61000000A9DD7D825FA20409A5FCD0182C54840,False
